id,ORIGINAL-PIXELS,GRID-SIZE,COLORS,DOMINANT-COLOR,DC-MODEL,DC-MODEL-INSCRIPTION-ID
513053E1DBA41712366BECA0169D6BA66B9A38620A16B2B61AC95CF29208034F,64X64,5X5,9,Gray,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
7FE8BCD2BB117550BF69686CCBF7449F9923F58498D468A0037E67D7ED0362A4,64X64,10X10,8,White,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
CCB2DF6F6F49A0433339F10F218457C5330B406CD7ED6D782F0EDDE20933987C,64X64,6X6,9,Yellow,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
04A896F35F0BB95C71DE159B9D039CD4A1BDEE5D51E40D93DB658D1760C46D04,64X64,5X5,8,Gray,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
D50D6ABDFF2F558D53CA01395E8CA2180AAB517ED8C0867AF51B1B47EC6F540D,64X64,12X12,10,Silver,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
A104D38CBC772221DEFB2C75C3F4A75F177B5D38F0FF065E67D066E469B68725,64X64,6X6,10,Teal,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
02865C57604FEF227574465D2EF590F35724E2B83F040073A83D64AA0C4ED144,64X64,13X13,7,Silver,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
39AA6B744EB1F35AA2E2A64CEF0C2D80135D3DB2355C9ADECBB1E87BADE618C0,64X64,16X16,11,Olive,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
98DA44E99D5AEB41B3E0B45D815F67C1000C8E04D5BD2E1FFABFEC420C498412,64X64,16X16,11,Aqua,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
B51F572C7E5BF260CDCBE40A7DF645518D89D58263DEDD8A83425C973C2D9B17,64X64,8X8,5,White,0.01,882EF201D628D13F2028D1749888F9BC615A7C0A4F2CC3848939A8E0B1BAC563
